%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1765344892814915989,51659,1765344892806958463,imu_link,-0.00341791945740248,0.008517714477754108,0.9904735577725806,-0.1373968621184063,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.003,0.003,1.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
1765344892887813927,51660,1765344892886610081,imu_link,-0.0007227848059037213,-0.0031266708274663617,0.9905124898376733,-0.13738525753236555,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.003,0.002,1.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
1765344892969191594,51661,1765344892966891141,imu_link,-0.006801964508713359,0.007270977325953343,0.9904648479124507,-0.13740542644784265,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.006,0.003,1.0030000000000001,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
1765344893045681413,51662,1765344893046230278,imu_link,-0.0020179165569729047,-0.0036251743086310475,0.9905108245205386,-0.13737209553487875,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.008,0.004,1.0030000000000001,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
1765344893127544852,51663,1765344893115302393,imu_link,-0.004632355018773998,0.0063558478417550576,0.9904846042392378,-0.13739866538737866,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,-0.0017453292519943296,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.006,0.002,1.0010000000000001,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
1765344893199020475,51664,1765344893194303381,imu_link,0.0009894619443018367,-0.00407517383179659,0.990508259162263,-0.13738923704076814,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.003,0.002,0.998,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
1765344893275019784,51665,1765344893273957869,imu_link,-0.006533162579687664,0.005212572523919326,0.9904794234016624,-0.13740690918691323,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.006,0.003,1.002,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
1765344893354762917,51666,1765344893352442433,imu_link,-0.0014929082813297204,-0.0054362831783581105,0.9905042278308152,-0.13736663604874563,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.008,0.001,1.0010000000000001,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
1765344893435343875,51667,1765344893432826993,imu_link,-0.005368620956919143,0.005991746513386688,0.9904826742541908,-0.13740214294182795,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.007,0.003,1.002,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
1765344893583209530,51668,1765344893512044074,imu_link,0.0005486610440786406,-0.004318028053143838,0.9905080795038904,-0.13738558163906964,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,-0.004,0.001,1.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.01
