%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1765344897899927459,0.0,0.0,0.0,0.0,0.0,0.0
1765344897920166656,-0.2,0.0,0.0,0.0,0.0,-0.3
1765344898116469298,-0.2,0.0,0.0,0.0,0.0,-0.3
1765344898310818939,-0.2,0.0,0.0,0.0,0.0,-0.3
1765344898515087570,-0.2,0.0,0.0,0.0,0.0,-0.3
1765344898707996767,-0.18137004140331103,0.0,0.0,0.0,0.0,-0.3
1765344898909936987,-0.057245112167968064,0.0,0.0,0.0,0.0,-0.2754085576788017
1765344899109441736,0.12202979524273072,0.0,0.0,0.0,0.0,-0.3
1765344899315834363,0.19283758555562627,0.0,0.0,0.0,0.0,-0.2831599391677425
1765344899512073654,0.17557664825365352,0.0,0.0,0.0,0.0,-0.26349112514597123
1765344899711317782,0.2,0.0,0.0,0.0,0.0,0.0569682160754901
1765344899911593459,0.2,0.0,0.0,0.0,0.0,0.20876898893221588
1765344900109698446,0.14283331582802378,0.0,0.0,0.0,0.0,0.3
1765344900307510324,0.09261336181276243,0.0,0.0,0.0,0.0,0.3
1765344900507173263,-0.13330523972093883,0.0,0.0,0.0,0.0,0.2669499508277354
1765344900705806163,-0.18219774959400462,0.0,0.0,0.0,0.0,0.2868172898488681
1765344900912396308,-0.1611643436755161,0.0,0.0,0.0,0.0,0.3
1765344901106497123,0.11819236267275209,0.0,0.0,0.0,0.0,0.3
1765344901309112842,0.18614526427366668,0.0,0.0,0.0,0.0,0.2870534060594789
1765344901509380141,0.16538179090036573,0.0,0.0,0.0,0.0,0.2847039960486686
1765344901707125031,0.10902839713489351,0.0,0.0,0.0,0.0,0.3
1765344901907696665,0.2,0.0,0.0,0.0,0.0,0.29346433760440266
1765344902107320481,0.2,0.0,0.0,0.0,0.0,0.267844468148882
1765344902316198953,0.2,0.0,0.0,0.0,0.0,0.2734081595516516
1765344902509612723,0.2,0.0,0.0,0.0,0.0,0.2698165625463964
1765344902707701448,0.2,0.0,0.0,0.0,0.0,0.26947091806396667
1765344902909004474,0.2,0.0,0.0,0.0,0.0,0.28683462057996806
1765344903107250832,0.2,0.0,0.0,0.0,0.0,0.2898106396178144
1765344903306984923,0.2,0.0,0.0,0.0,0.0,0.2427991604586893
1765344903512544790,0.2,0.0,0.0,0.0,0.0,0.21233364658784407
1765344903709854345,0.2,0.0,0.0,0.0,0.0,0.22830929751172632
1765344903907664161,0.2,0.0,0.0,0.0,0.0,-0.04170553727669814
1765344904107695808,0.2,0.0,0.0,0.0,0.0,-0.08852963340709057
1765344904312187742,0.2,0.0,0.0,0.0,0.0,-0.21032869594657722
1765344904509819966,0.2,0.0,0.0,0.0,0.0,-0.22184415485628395
1765344904712924579,0.2,0.0,0.0,0.0,0.0,-0.22885259044836817
1765344904911083003,0.2,0.0,0.0,0.0,0.0,-0.22630156562941312
1765344905110456706,0.2,0.0,0.0,0.0,0.0,-0.22712367761770227
1765344905309333747,0.2,0.0,0.0,0.0,0.0,-0.22627357128882006
1765344905508947316,0.2,0.0,0.0,0.0,0.0,-0.26754460835200894
1765344905708872978,0.2,0.0,0.0,0.0,0.0,-0.26559285500105945
1765344905909059345,0.2,0.0,0.0,0.0,0.0,-0.25682914599892737
1765344906108530086,0.2,0.0,0.0,0.0,0.0,-0.25106356766585375
1765344906308013105,0.2,0.0,0.0,0.0,0.0,-0.25544631670232887
1765344906509583835,0.2,0.0,0.0,0.0,0.0,-0.2500643124361954
1765344906725552357,0.2,0.0,0.0,0.0,0.0,-0.2526222965817295
1765344906921223536,0.2,0.0,0.0,0.0,0.0,-0.2453661775915095
1765344907110067632,0.2,0.0,0.0,0.0,0.0,-0.05681652193498775
1765344907307429243,0.2,0.0,0.0,0.0,0.0,0.2709888503448235
1765344907506452627,0.2,0.0,0.0,0.0,0.0,0.3
1765344907711310109,0.1786189548147722,0.0,0.0,0.0,0.0,0.3
1765344907913707191,0.16565099350504936,0.0,0.0,0.0,0.0,0.3
1765344908107490353,0.16717278645176567,0.0,0.0,0.0,0.0,0.3
1765344908309228980,0.16139297174084918,0.0,0.0,0.0,0.0,0.3
1765344908512268116,0.1491598564651931,0.0,0.0,0.0,0.0,0.3
1765344908710319854,-0.016254110625342263,0.0,0.0,0.0,0.0,0.3
1765344908909821987,0.01024531860205123,0.0,0.0,0.0,0.0,0.3
1765344909103426805,0.0,0.0,0.0,0.0,0.0,0.0
1765344915721181130,0.0,0.0,0.0,0.0,0.0,0.0
1765344915928558475,0.2,0.0,0.0,0.0,0.0,0.3
1765344916145375202,0.2,0.0,0.0,0.0,0.0,0.3
1765344916338857006,0.2,0.0,0.0,0.0,0.0,0.3
1765344916528698754,0.2,0.0,0.0,0.0,0.0,0.3
1765344916735039607,0.2,0.0,0.0,0.0,0.0,0.3
1765344916930580842,0.19221787438190152,0.0,0.0,0.0,0.0,0.3
1765344917129225434,0.18377276424033245,0.0,0.0,0.0,0.0,0.3
1765344917331217858,0.16323088509060013,0.0,0.0,0.0,0.0,0.3
1765344917528911316,0.13928161335722974,0.0,0.0,0.0,0.0,0.3
1765344917739693812,0.05729550801754404,0.0,0.0,0.0,0.0,0.3
1765344917931998111,0.10334090786357931,0.0,0.0,0.0,0.0,0.3
1765344918131279119,0.027473954024321443,0.0,0.0,0.0,0.0,0.3
1765344918328948709,0.14845634272203156,0.0,0.0,0.0,0.0,0.3
1765344918532451473,0.18815362717879616,0.0,0.0,0.0,0.0,0.28336287710477365
1765344918729726990,0.17516115857749362,0.0,0.0,0.0,0.0,0.25244160683740835
1765344918934149329,0.18075206234333682,0.0,0.0,0.0,0.0,0.255963990217311
1765344919129860327,0.2,0.0,0.0,0.0,0.0,0.3
1765344919328934248,0.2,0.0,0.0,0.0,0.0,0.3
1765344919533501868,0.09425981161012693,0.0,0.0,0.0,0.0,0.3
1765344919734605003,0.11666113453794555,0.0,0.0,0.0,0.0,0.3
1765344919930137578,-0.2,0.0,0.0,0.0,0.0,-0.02124495489604315
1765344920130391286,-0.2,0.0,0.0,0.0,0.0,-0.15401095583359195
1765344920327601151,-0.2,0.0,0.0,0.0,0.0,-0.039001450954285095
1765344920526670424,-0.2,0.0,0.0,0.0,0.0,0.23803762690590452
1765344920727809511,-0.2,0.0,0.0,0.0,0.0,0.24182871319194812
1765344920927964500,-0.2,0.0,0.0,0.0,0.0,0.2514592275093503
1765344921129099229,-0.2,0.0,0.0,0.0,0.0,0.2617131367071669
1765344921333596461,-0.2,0.0,0.0,0.0,0.0,0.2700318859174688
1765344921528534539,-0.2,0.0,0.0,0.0,0.0,0.29067733846754035
1765344921729282937,-0.2,0.0,0.0,0.0,0.0,0.2993264033138887
1765344921928067914,-0.2,0.0,0.0,0.0,0.0,0.2994203162538852
1765344922129522648,-0.2,0.0,0.0,0.0,0.0,0.3
1765344922327261897,-0.2,0.0,0.0,0.0,0.0,0.3
1765344922527218434,-0.2,0.0,0.0,0.0,0.0,0.3
1765344922726629980,-0.2,0.0,0.0,0.0,0.0,0.3
1765344922927395213,-0.2,0.0,0.0,0.0,0.0,0.3
1765344923126320227,-0.1950866274641513,0.0,0.0,0.0,0.0,0.3
1765344923327723612,-0.1492873709498127,0.0,0.0,0.0,0.0,0.3
1765344923526895627,-0.16464654635033552,0.0,0.0,0.0,0.0,0.3
1765344923729906296,-0.13528228904571626,0.0,0.0,0.0,0.0,0.3
1765344923926917937,-0.11820081110533304,0.0,0.0,0.0,0.0,0.3
1765344924145172888,0.11533143699593325,0.0,0.0,0.0,0.0,0.3
1765344924336077097,0.15760478799009386,0.0,0.0,0.0,0.0,0.2999983807716024
