%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1765344892759662554,1,1765344868963103000,map,-0.6993201077417839,3.7194148962838027,0.0,0.0,0.0,0.25531712039811216,0.9668573669531695,0.19708000003826798,0.016753342392316295,0.0,0.0,0.0,0.0,0.01675334239231674,0.17226605853726973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060013033199741175
1765344898483186573,2,1765344898336918000,map,-0.7194685920135158,3.7366402877932283,0.0,0.0,0.0,0.25583024838730245,0.9667217200467212,0.16656589977932756,0.02409530636218271,0.0,0.0,0.0,0.0,0.02409530636218271,0.12355300535255687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05006265490504082
1765344898726098261,3,1765344898578798000,map,-0.7225826919753606,3.704785479996024,0.0,0.0,0.0,0.24931390148563412,0.9684227271837498,0.13688178010740626,0.029873588651927463,0.0,0.0,0.0,0.0,0.029873588651927463,0.08786273808169653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04241478787141988
1765344898956600619,4,1765344898819154000,map,-0.7368362773608066,3.6752665369546507,0.0,0.0,0.0,0.24854569948711291,0.9686201707926909,0.11010417672838058,0.031206382837073665,0.0,0.0,0.0,0.0,0.031206382837073665,0.062337139884286685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03521041370610686
1765344899195545133,5,1765344899060771000,map,-0.7650121477657019,3.6381574019541847,0.0,0.0,0.0,0.23923846138189375,0.970960842977524,0.10031726598763446,0.036815966709511816,0.0,0.0,0.0,0.0,0.036815966709511816,0.051328395677288086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030415758157613326
1765344899994714228,6,1765344899782481000,map,-0.6814539990933701,3.6583961744073368,0.0,0.0,0.0,0.23534847736655629,0.9719110526181105,0.09247033468854282,0.04197054395308797,0.0,0.0,0.0,0.0,0.04197054395308797,0.04597298877167155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028505441852259956
1765344900159533680,7,1765344900020729000,map,-0.6105692723936367,3.689456593619557,0.0,0.0,0.0,0.23125181634300068,0.9728939291814206,0.08896575497939596,0.045670413420843214,0.0,0.0,0.0,0.0,0.04567041342084366,0.041900597111911964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027114956735353413
1765344900399616394,8,1765344900260735000,map,-0.5310197119865736,3.7291549750282726,0.0,0.0,0.0,0.22550836910576055,0.9742412306319519,0.08721667134014616,0.04683018772719061,0.0,0.0,0.0,0.0,0.04683018772719061,0.045500406659552795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025364431524170852
1765344900632299706,9,1765344900499990000,map,-0.46729616950682973,3.762742644525276,0.0,0.0,0.0,0.218582092576372,0.9758185634660443,0.07978347803480709,0.044020219469656174,0.0,0.0,0.0,0.0,0.044020219469656396,0.041275406757156574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02485459849088067
1765344901360704932,10,1765344901219081000,map,-0.5073244377705073,3.7370133201291975,0.0,0.0,0.0,0.21042381290473125,0.9776102592355681,0.07851281856757775,0.04245839633346993,0.0,0.0,0.0,0.0,0.04245839633347015,0.03944923206182516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020637461292278572
