time,tf_delay
1766222865.529664, -0.484169007
1766222865.6298337, -0.484306098
1766222865.7309518, -0.483441353
1766222865.8322792, -0.48240184799999997
1766222865.9368985, -0.47829341999999997
1766222866.038335, -0.47711253200000003
1766222866.138911, -0.476782084
1766222866.239174, -0.476791144
1766222866.3438168, -0.47254443199999996
1766222866.447728, -0.47099137300000005
1766222866.5486894, -0.468164444
1766222866.6502256, -0.46707725499999997
1766222866.7533433, -0.46424055200000003
1766222866.8541212, -0.46376752899999996
1766222866.9546192, -0.46351742799999995
1766222867.0554626, -0.46298384699999995
1766222867.1561143, -0.462608099
1766222867.2583468, -0.46063399400000005
1766222867.3600345, -0.459451199
1766222867.4614627, -0.458258391
1766222867.5667794, -0.453286171
1766222867.6678264, -0.452494861
1766222867.7704284, -0.45021343300000005
1766222867.8718994, -0.449004651
1766222867.9724712, -0.49895405800000003
1766222868.0750601, -0.446485044
1766222868.1763484, -0.49565172199999996
1766222868.278443, -0.443714857
1766222868.379235, -0.393038035
1766222868.4806232, -0.49228072199999995
1766222868.5812373, -0.491929532
1766222868.6826577, -0.49081420899999995
1766222868.7828314, -0.49095273100000003
1766222868.8831205, -0.49106001899999996
1766222868.985345, -0.489128828
1766222869.0867236, -0.48805856700000005
1766222869.1877968, -0.48729324399999996
1766222869.2930732, -0.48239398099999997
1766222869.3945038, -0.48129963899999995
1766222869.4951887, -0.48090052699999997
1766222869.5965765, -0.47978806500000004
1766222869.697865, -0.478776694
1766222869.8003151, -0.476796389
1766222869.900941, -0.47643137
1766222870.0033386, -0.474438668
1766222870.1036937, -0.474358559
1766222870.2046962, -0.47369050999999995
1766222870.3072631, -0.47135949200000005
1766222870.4083061, -0.47060537300000005
1766222870.5094988, -0.469700098
1766222870.6102304, -0.469192505
1766222870.711029, -0.46879911399999996
1766222870.811844, -0.468251706
1766222870.9123845, -0.46798944499999995
1766222871.0131695, -0.46766114299999995
1766222871.1139483, -0.467149735
1766222871.2145665, -0.46690249399999995
1766222871.315626, -0.466110707
1766222871.4166324, -0.46540927899999995
1766222871.5172918, -0.465016365
1766222871.617828, -0.464842797
1766222871.7188087, -0.46413445600000003
1766222871.8196518, -0.46360373600000004
1766222871.9210904, -0.46261024500000003
1766222872.0215278, -0.46244311400000004
1766222872.1225312, -0.46185875
1766222872.2232275, -0.461442472
1766222872.3240511, -0.46097302500000004
1766222872.425869, -0.459412099
1766222872.5309296, -0.454790354
1766222872.6314511, -0.45458722100000004
1766222872.7321167, -0.45428967499999995
1766222872.8329124, -0.5039038659999999
1766222872.9343545, -0.5027635100000001
1766222873.0347426, -0.45249843700000003
1766222873.1355038, -0.502204181
1766222873.2363195, -0.50165248
1766222873.3365932, -0.5016293540000001
1766222873.4368336, -0.501681328
1766222873.537422, -0.5013482579999999
1766222873.6378775, -0.501336336
1766222873.7389731, -0.45035290800000005
1766222873.84013, -0.499691248
1766222873.9406655, -0.44923997000000004
1766222874.0412142, -0.499142886
1766222874.1416366, -0.499030353
1766222874.241933, -0.49898123800000005
1766222874.3424003, -0.49880862299999995
1766222874.4428988, -0.498555423
1766222874.5433948, -0.49832558699999996
1766222874.643863, -0.498179198
1766222874.744968, -0.447203398
1766222874.845847, -0.49673390399999995
1766222874.9466808, -0.49618625699999996
1766222875.0477865, -0.445238114
1766222875.1488943, -0.394248009
1766222875.2491329, -0.49452877100000003
1766222875.3496294, -0.49431109500000003
1766222875.450076, -0.49414730100000004
1766222875.5507624, -0.493818046
1766222875.6512775, -0.49367118
1766222875.7523315, -0.49289870300000005
1766222875.853185, -0.492301941
1766222875.9538655, -0.49200534799999995
1766222876.0542152, -0.491874218
1766222876.1545186, -0.49184083999999995
1766222876.2551894, -0.491423607
1766222876.3558803, -0.491031409
1766222876.4565184, -0.490822793
1766222876.5576088, -0.490006924
1766222876.6580048, -0.48996615499999996
1766222876.75899, -0.48922467300000005
1766222876.8596315, -0.488971234
1766222876.9601946, -0.488622428
1766222877.0606205, -0.48846626299999996
1766222877.1609652, -0.48837924
1766222877.2615054, -0.48815393500000004
1766222877.3625715, -0.487345935
1766222877.4629157, -0.48731994700000003
1766222877.5635862, -0.48743867900000004
1766222877.6662984, -0.48571515099999996
1766222877.7674813, -0.485444785
1766222877.8681035, -0.486178876
1766222877.9699306, -0.485797167
1766222878.0703454, -0.486078978
1766222878.172734, -0.484784604
1766222878.2738483, -0.484352589
1766222878.3743565, -0.48504686399999997
1766222878.4748893, -0.485962868
1766222878.5753255, -0.48608779999999996
1766222878.6781118, -0.484503747
1766222878.779164, -0.484454633
1766222878.8817194, -0.48424983099999996
1766222878.98307, -0.48388719599999996
1766222879.084801, -0.48877310799999996
1766222879.1851966, -0.48883676600000003
1766222879.2854784, -0.48983192499999995
1766222879.3867567, -0.488997221
1766222879.4885488, -0.488634825
1766222879.5889132, -0.49199843499999996
1766222879.6906314, -0.491059542
1766222879.7916808, -0.49094176300000003
1766222879.8947842, -0.488795043
1766222879.9953485, -0.488627912
1766222880.0960803, -0.48879003600000004
1766222880.1964958, -0.490445614
1766222880.2983112, -0.489318371
1766222880.3988743, -0.48979616299999995
1766222880.499988, -0.49140286499999997
1766222880.6010876, -0.49082589200000004
1766222880.7022576, -0.49067497299999996
1766222880.8029075, -0.490908861
1766222880.9032118, -0.490953446
1766222881.003851, -0.49143719799999996
1766222881.1042256, -0.49216389699999996
1766222881.205126, -0.49172401499999996
1766222881.3056047, -0.49236917599999996
1766222881.4059253, -0.49307441799999996
1766222881.5062547, -0.49326562900000004
1766222881.6074145, -0.49328756399999996
1766222881.7076697, -0.493662119
1766222881.808626, -0.49306917299999997
1766222881.9095197, -0.49296999100000005
1766222882.01055, -0.503005267
1766222882.1116374, -0.5027456290000001
1766222882.211981, -0.503542186
1766222882.312978, -0.5033454900000001
1766222882.4132435, -0.503401042
1766222882.5139446, -0.5039284239999999
1766222882.615282, -0.503242255
1766222882.7163162, -0.502595425
1766222882.817249, -0.503272057
1766222882.9191864, -0.501986743
1766222883.0197232, -0.452016831
1766222883.1207728, -0.507961989
1766222883.2218697, -0.457159043
1766222883.322524, -0.457920075
1766222883.4237509, -0.509666205
1766222883.5246277, -0.459039212
1766222883.6254697, -0.459150792
1766222883.72663, -0.509229422
1766222883.8274128, -0.510690928
1766222883.9330175, -0.45563912500000003
1766222884.0333834, -0.506358147
1766222884.1335473, -0.45642709800000003
1766222884.2348182, -0.510040999
1766222884.335954, -0.509327173
1766222884.4364166, -0.45906424599999995
1766222884.538405, -0.5084106930000001
1766222884.6389196, -0.508711339
1766222884.740715, -0.45734739300000005
1766222884.8420553, -0.507637263
1766222884.9433727, -0.506794215
1766222885.0443757, -0.507077217
1766222885.1461394, -0.506632329
1766222885.2470262, -0.506932021
1766222885.3479307, -0.45667171500000003
1766222885.4487581, -0.45658755399999995
1766222885.5507233, -0.505555631
